Kelompok Ikan,Nama Umum,Nama Spesies,Status Perlindungan Nasional,Appendiks CITES,Fakta Menarik,Lokasi,Gambar
PENYU,Penyu hijau,Chelonia mydas,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu hijau mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmP6j_MnQi0otuqTvK-EtWVuo3QDK98HLf6IZ-igqDZjs7hvd9QpHhW83I7MTojts8PRFdYH2Jo5ioDQTpinQxhYUe631fmwdWhej8GMBIgSn-oafr9w&s=10&ec=121643169
PENYU,Penyu belimbing,Dermochelys coriacea,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu belimbing mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfjYDIzYbk4_QiKl3qGnNF_KuXd--2rjdfZaeq8a71bjqLZtMBT-t7SnIlol8m4ecO_FAlm-BWO8xRA5SxRaslruEQyLMgNhjIrQU4EVZOTnhbIZg&s=10&ec=121643169
PENYU,Penyu Lekang,Lepidochelys olivacea,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu lekang mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr6hq66PxlfhvGwhNbF5MMQNuLVKaQGLA9GGSj7mGUMJ8ePgdaa4F5WKE0iMIQVgoFSXzB2i8kk7Rn0Ak9y98say48z5TirBulpvma9ZiO1PsKgoHG&s=10&ec=121643169
PENYU,Penyu Pipih,Natator depressus,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu pipih mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfTjVYTy9nlTSGMxxh6RNZkky1NTTRqpYhRmpvsnwf-hDToeYq5Tn1qCq-GcakuZ198ecT0awZM1na4UBGDFQ0_-zg46DESljGwAPNtOmHUx9Sxxxosw&s=10&ec=121643169
PENYU,Penyu Sisik,Eretmochelys imbricata,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu sisik mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvZda7UViuKX742Uvj0j0gRMxW9LfjxpFVduIZQNS7fErHWpvypxjcgJCSfbafQU26x7KAoCeLOiqFZ1yVOFgNVRcBHG9iuzrCzPIWdxk2ELy5ddKJ&s=10&ec=121643169
PENYU,Penyu Tempayan,Caretta caretta,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat penyu tempayan mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Raja Ampat,-0.234,130.507|Derawan,2.285,118.242",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtY1-ke533T9YtR1i1arBraVOfrY1DHY6e5ZkdCGPYw6CM01wS-wa6UMt1QOKUH7Oakmb2no8gZPcT6aCaJPzhIAZZ6Pyhe2SLyc0n1ruoJgtxh4yvLQ&s=10&ec=121643169
DUGONG,Dugong,Dugong dugon,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat dugong mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Bintan,1.08,104.49|Alor,-8.13,124.6",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqlDXkchGxHwgKXW_hG-ryI8fKvnkaZrX3HWI5iXA_gs1gArak9J_UleLJBK7-T7gJacE99sytZUEWCdUUEjAdVzVJZZdgDQINjDSFFETjPk5E8jUfnA&s=10&ec=121643169
MAMALIA LAUT,Paus Minke,Balaenoptera acutorostrata,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat paus minke mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Wakatobi,-5.33,123.59|Laut Sawu,-10.5,121.0",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQET22hfKzGS3p0vy_IOWRtuOoZpXijaUNFgpCUdmBdR4RDzH_-LPDhe5DSB9GLfhjX7honptB4-4MxhSfJA4L2Qd2pRSHRyaHnXz0oI4H7mIPDLe_1&s=10&ec=121643169
MAMALIA LAUT,Paus Sei,Balaenoptera borealis,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat paus sei mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Wakatobi,-5.33,123.59|Laut Sawu,-10.5,121.0",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfzznebuzYlW7w56E1CRNZjiahjknRuarid3fEToQcJnPtNPjZxwmYpVYeEsxpOX68T-eeKjGcy9pI0qSxp8gwGTtWOrf8rcT1nb1l0VTyhcusCuE7&s=10&ec=121643169
MAMALIA LAUT,Paus Bryde,Balaenoptera brydei,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat paus bryde mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Wakatobi,-5.33,123.59|Laut Sawu,-10.5,121.0",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ97NGuOhHa-mL8pGtiMe7yHuA4_lrMG7QN0pZXvFwFUSW8mwFkIjhNwA-mD5oN4XJI61IxNiMn3E9ewUiOV1E4XPd2d5ZmYltIAar6ssiZUbceasn-FA&s=10&ec=121643169
MAMALIA LAUT,Paus Bryde Kecil,Balaenoptera edeni,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat paus bryde kecil mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Wakatobi,-5.33,123.59|Laut Sawu,-10.5,121.0",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Ds_UGhcMszNIzhTscSXuxT6Jy5aIIITFll5cNWpTu_PTnLCjJ1GxrpWz1uKzkc1ToDMmya-eg_o3ZVQ3nj3kqogiUpYruOGrKF7qKdouYeUy_DzI&s=10&ec=121643169
MAMALIA LAUT,Paus Biru,Balaenoptera musculus,Dilindungi Penuh,Appendiks I,Hidup di perairan Indonesia dan berperan penting dalam ekosistem|Memiliki ciri khas yang membuat paus biru mudah dikenali|Populasinya perlu dijaga melalui konservasi dan perlindungan habitat,"Wakatobi,-5.33,123.59|Laut Sawu,-10.5,121.0",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUG26FgNVSuSDt-s4a5wQeoFD23anKB5UsviQ6JTHdPENuvveL77q1nzOomQ4EvT9BabhIIgSgJ4bNyh0QyFaGUUpHn-9ORgLMGewnT9js1ixW4clm&s=10&ec=121643169
